id,fullpath,dcTitle,entity,uri
9578,"/Persone/Auber, Daniel-François-Esprit (9578)",Daniel François Esprit Auber,Q157672,https://www.wikidata.org/wiki/Q157672
9579,"/Persone/Barber, Samuel (9579)",Samuel Barber,Q216870,https://www.wikidata.org/wiki/Q216870
9580,"/Persone/Bartók, Béla (9580)",Béla Bartók,Q83326,https://www.wikidata.org/wiki/Q83326
9581,"/Persone/Beethoven, Ludwig van (9581)",Ludwig van Beethoven,Q255,https://www.wikidata.org/wiki/Q255
9582,"/Persone/Bellini, Vincenzo (9582)",Vincenzo Bellini,Q170209,https://www.wikidata.org/wiki/Q170209
9583,"/Persone/Berlioz, Hector (9583)",Hector Berlioz,Q1151,https://www.wikidata.org/wiki/Q1151
9584,"/Persone/Bizet, Georges (9584)",Georges Bizet,Q56158,https://www.wikidata.org/wiki/Q56158
9585,"/Persone/Boito, Arrigo (9585)",Arrigo Boito,Q219491,https://www.wikidata.org/wiki/Q219491
9586,"/Persone/Borodin, Aleksandr P. (9586)",Alexander Borodin,Q164004,https://www.wikidata.org/wiki/Q164004
9588,"/Persone/Čajkovskij, Pëtr Il'ič (9588)",Pyotr Ilyich Tchaikovsky,Q7315,https://www.wikidata.org/wiki/Q7315
9589,"/Persone/Catalani, Alfredo (9589)",Alfredo Catalani,Q352722,https://www.wikidata.org/wiki/Q352722
9590,"/Persone/Charpentier, Gustave (9590)",Gustave Charpentier,Q311663,https://www.wikidata.org/wiki/Q311663
9591,"/Persone/Cherubini, Luigi (9591)",Luigi Cherubini,Q20721,https://www.wikidata.org/wiki/Q20721
9592,"/Persone/Cilea, Francesco (9592)",Francesco Cilea,Q250952,https://www.wikidata.org/wiki/Q250952
9593,"/Persone/Cimarosa, Domenico (9593)",Domenico Cimarosa,Q191775,https://www.wikidata.org/wiki/Q191775
9594,"/Persone/Debussy, Claude (9594)",Claude Debussy,Q4700,https://www.wikidata.org/wiki/Q4700
9595,"/Persone/Delibes, Léo (9595)",Léo Delibes,Q207951,https://www.wikidata.org/wiki/Q207951
